,incident_date,tz,address,prefecture,incident,animal,title_detail,url,lon,lat
0,2024-05-30,夕方,東京都練馬区谷原５丁目,東京都,下半身露出,False,（東京）練馬区谷原５丁目で下半身露出　５月３０日夕方,http://this.kiji.is/1169267542530458317?c=134733695793120758,139.61062622070312,35.75204086303711
1,2024-04-30,夕方,東京都小平市回田町,東京都,暴行,False,（東京）小平市回田町で暴行　４月３０日夕方,http://this.kiji.is/1158030597921112344?c=134733695793120758,139.49533081054688,35.717369079589844
2,2024-05-31,夕方,東京都北区東十条２丁目,東京都,声かけ,False,（東京）北区東十条２丁目で声かけ　５月３１日夕方,http://this.kiji.is/1169259575689561005?c=134733695793120758,139.7302703857422,35.76323318481445
3,2024-04-30,夕方,東京都日野市旭が丘１丁目,東京都,つきまとい,False,（東京）日野市旭が丘１丁目でつきまとい　４月３０日夕方,http://this.kiji.is/1158013460290633784?c=134733695793120758,139.37367248535156,35.65552520751953
4,2024-04-30,夕方,東京都品川区大崎１丁目,東京都,下半身露出,False,（東京）品川区大崎１丁目で下半身露出　４月３０日夕方,http://this.kiji.is/1158012909382320379?c=134733695793120758,139.72946166992188,35.62015151977539
5,2024-05-30,夕方,東京都江戸川区西葛西３丁目付近,東京都,不審な行動,False,（東京）江戸川区西葛西３丁目付近で不審な行動　５月３０日夕方,http://this.kiji.is/1169251810170651365?c=134733695793120758,139.857666015625,35.667415618896484
6,2024-04-30,夕方,東京都文京区本郷１丁目,東京都,痴漢,False,（東京）文京区本郷１丁目で痴漢　４月３０日夕方,http://this.kiji.is/1157998289569825250?c=134733695793120758,139.7563018798828,35.70501708984375
7,2024-04-30,夕方,東京都渋谷区松濤２丁目,東京都,盗撮,False,（東京）渋谷区松濤２丁目で盗撮　４月３０日夕方,http://this.kiji.is/1157994917469880839?c=134733695793120758,139.6897735595703,35.65997314453125
8,2024-04-29,夕方,東京都多摩市落合３丁目,東京都,声かけ,False,（東京）多摩市落合３丁目で声かけ　４月２９日夕方,http://this.kiji.is/1157984821396472626?c=134733695793120758,139.4302215576172,35.61915588378906
9,2024-04-30,,東京都足立区荒川周辺地域,東京都,危険物設置,False,（東京）足立区荒川周辺地域で危険物設置　４月３０日,http://this.kiji.is/1157969819273855952?c=134733695793120758,139.80458068847656,35.77494430541992
10,2024-06-13,夜,東京都福生市熊川付近,東京都,下半身露出,False,（東京）福生市熊川付近で下半身露出　６月１３日夜,http://this.kiji.is/1174177660528378621?c=134733695793120758,139.34304809570312,35.72349166870117
11,2024-06-14,未明,東京都日野市程久保８丁目,東京都,下半身露出,False,（東京）日野市程久保８丁目で下半身露出　６月１４日未明,http://this.kiji.is/1174177097299804520?c=134733695793120758,139.40696716308594,35.65327072143555
12,2024-04-30,午後,東京都府中市分梅町５丁目,東京都,下半身露出,False,（東京）府中市分梅町５丁目で下半身露出　４月３０日午後,http://this.kiji.is/1157959636475609370?c=134733695793120758,139.46328735351562,35.66189956665039
13,2024-05-31,午前,東京都あきる野市伊奈,東京都,不審な訪問,False,（東京）あきる野市伊奈で不審な訪問　５月３１日午前,http://this.kiji.is/1169212108161860355?c=134733695793120758,139.2509307861328,35.73049545288086
14,2024-06-13,深夜,東京都多摩市永山４丁目付近,東京都,つきまとい,False,（東京）多摩市永山４丁目付近でつきまとい　６月１３日深夜,http://this.kiji.is/1174138335217680568?c=134733695793120758,139.4506378173828,35.618919372558594
15,2024-05-31,午後,東京都大田区南馬込４丁目,東京都,暴行,False,（東京）大田区南馬込４丁目で暴行　５月３１日午後,http://this.kiji.is/1169181735244383134?c=134733695793120758,139.71238708496094,35.585357666015625
16,2024-05-31,朝,東京都多摩市東寺方付近,東京都,凝視,False,（東京）多摩市東寺方付近で凝視　５月３１日朝,http://this.kiji.is/1169176156662776172?c=134733695793120758,139.43942260742188,35.6444091796875
17,2024-05-30,夕方,東京都多摩市貝取３丁目,東京都,公然わいせつ,False,（東京）多摩市貝取３丁目で公然わいせつ類似行為　５月３０日夕方,http://this.kiji.is/1169172700429599412?c=134733695793120758,139.44129943847656,35.61671829223633
18,2024-05-29,夕方,東京都八王子市左入町付近,東京都,不審な行動,False,（東京）八王子市左入町付近で不審な行動　５月２９日夕方,http://this.kiji.is/1169167896339808854?c=134733695793120758,139.3447723388672,35.683013916015625
19,2024-04-29,夕方,東京都調布市佐須町４丁目,東京都,下半身露出,False,（東京）調布市佐須町４丁目で下半身露出　４月２９日夕方,http://this.kiji.is/1157835232577782481?c=134733695793120758,139.55795288085938,35.65764617919922
20,2024-06-13,夜,東京都荒川区南千住８丁目,東京都,下半身露出,False,（東京）荒川区南千住８丁目で下半身露出　６月１３日夜,http://this.kiji.is/1174106078334681265?c=134733695793120758,139.8096923828125,35.73683166503906
21,2024-05-29,夕方,東京都八王子市明神町２丁目,東京都,痴漢,False,（東京）八王子市明神町２丁目で痴漢　５月２９日夕方,http://this.kiji.is/1169159686523158707?c=134733695793120758,139.3467254638672,35.65691375732422
22,2024-05-31,朝,東京都板橋区清水町付近,東京都,痴漢,False,（東京）板橋区清水町付近で痴漢　５月３１日朝,http://this.kiji.is/1169143392533431089?c=134733695793120758,139.70684814453125,35.76484680175781
23,2024-06-11,朝,東京都府中市住吉町１丁目,東京都,痴漢,False,（東京）府中市住吉町１丁目で痴漢　６月１１日朝,http://this.kiji.is/1173985927317454868?c=134733695793120758,139.459716796875,35.66083526611328
