incident_date,tz,address,prefecture,incident,animal,title_detail,url
2024-05-31,朝,東京都府中市白糸台６丁目,東京都,声かけ,False,（東京）府中市白糸台６丁目で声かけ　５月３１日朝,http://this.kiji.is/1169108735466570095?c=134733695793120758
2024-06-13,夕方,東京都江戸川区北小岩４丁目,東京都,痴漢,False,（東京）江戸川区北小岩４丁目で痴漢　６月１３日夕方,http://this.kiji.is/1173917982698734325?c=134733695793120758
2024-06-13,午後,東京都港区芝浦４丁目,東京都,凝視,False,（東京）港区芝浦４丁目で凝視　６月１３日午後,http://this.kiji.is/1173917026998878738?c=134733695793120758
2024-06-13,昼,東京都豊島区目白４丁目,東京都,下半身露出,False,（東京）豊島区目白４丁目で下半身露出　６月１３日昼,http://this.kiji.is/1173914787081667341?c=134733695793120758
2024-04-29,未明,東京都墨田区立花２丁目,東京都,つきまとい,False,（東京）墨田区立花２丁目でつきまとい　４月２９日未明,http://this.kiji.is/1157435324547776581?c=134733695793120758
2024-06-13,朝,東京都多摩市愛宕１丁目付近,東京都,盗撮,False,（東京）多摩市愛宕１丁目付近で盗撮　６月１３日朝,http://this.kiji.is/1173912840918286467?c=134733695793120758
2024-05-24,夕方,東京都江東区西部,東京都,体液かけ,False,（東京）江東区西部で体液かけ　５月２４日夕方,http://this.kiji.is/1173910538729865511?c=134733695793120758
2024-06-13,昼過ぎ,東京都江東区南砂６丁目,東京都,痴漢,False,（東京）江東区南砂６丁目で痴漢　６月１３日昼過ぎ,http://this.kiji.is/1173891411392479635?c=134733695793120758
2024-06-12,午後,東京都港区赤坂９丁目,東京都,盗撮,False,（東京）港区赤坂９丁目で盗撮　６月１２日午後,http://this.kiji.is/1173876279783719462?c=134733695793120758
2024-04-28,未明,東京都福生市熊川,東京都,声かけ,False,（東京）福生市熊川で声かけ　４月２８日未明,http://this.kiji.is/1157118944961954013?c=134733695793120758
2024-05-30,夕方,東京都江東区扇橋２丁目,東京都,声かけ,False,（東京）江東区扇橋２丁目で声かけ　５月３０日夕方,http://this.kiji.is/1168871991802004260?c=134733695793120758
2024-05-30,朝,東京都足立区中川４丁目付近,東京都,ひったくり,False,（東京）足立区中川４丁目付近でひったくり　５月３０日朝,http://this.kiji.is/1168806740152205366?c=134733695793120758
2024-06-12,昼過ぎ,東京都西東京市南町３丁目,東京都,痴漢,False,（東京）西東京市南町３丁目で痴漢　６月１２日昼過ぎ,http://this.kiji.is/1173806007923343489?c=134733695793120758
2024-06-13,朝,東京都青梅市新町８丁目,東京都,痴漢,False,（東京）青梅市新町８丁目で痴漢　６月１３日朝,http://this.kiji.is/1173785827295658315?c=134733695793120758
2024-04-27,昼,東京都あきる野市秋川５丁目,東京都,下半身露出,False,（東京）あきる野市秋川５丁目で下半身露出　４月２７日昼,http://this.kiji.is/1156837533189701740?c=134733695793120758
